MH,Data
STD,103909.0
STD,104243.0
STD,105530.0
STD,104710.0
STD,104046.0
STD,103864.0
STD,104484.0
STD,104256.0
STD,104863.0
STD,106197.0
STD,104353.0
STD,103667.0
STD,104629.0
STD,104381.0
STD,104385.0
STD,104927.0
STD,103934.0
STD,104013.0
STD,104589.0
STD,105176.0
STD,106338.0
STD,104774.0
STD,104298.0
STD,104412.0
STD,104966.0
STD,105257.0
STD,104519.0
STD,104584.0
STD,104230.0
STD,106098.0
STD,104609.0
STD_LOG,102006.0
STD_LOG,101589.0
STD_LOG,101184.0
STD_LOG,101248.0
STD_LOG,101657.0
STD_LOG,101224.0
STD_LOG,101805.0
STD_LOG,102266.0
STD_LOG,102126.0
STD_LOG,101836.0
STD_LOG,101786.0
STD_LOG,103006.0
STD_LOG,101985.0
STD_LOG,102609.0
STD_LOG,101493.0
STD_LOG,102761.0
STD_LOG,101346.0
STD_LOG,101684.0
STD_LOG,102108.0
STD_LOG,101627.0
STD_LOG,103142.0
STD_LOG,100947.0
STD_LOG,101624.0
STD_LOG,101342.0
STD_LOG,101226.0
STD_LOG,101892.0
STD_LOG,102620.0
STD_LOG,103254.0
STD_LOG,103176.0
STD_LOG,101512.0
STD_LOG,103082.0
STD_PIECE,104709.0
STD_PIECE,104145.0
STD_PIECE,104289.0
STD_PIECE,104076.0
STD_PIECE,104081.0
STD_PIECE,104073.0
STD_PIECE,104439.0
STD_PIECE,103717.0
STD_PIECE,104988.0
STD_PIECE,104628.0
STD_PIECE,104798.0
STD_PIECE,104592.0
STD_PIECE,103767.0
STD_PIECE,104343.0
STD_PIECE,103898.0
STD_PIECE,104799.0
STD_PIECE,104459.0
STD_PIECE,103643.0
STD_PIECE,105308.0
STD_PIECE,104652.0
STD_PIECE,104142.0
STD_PIECE,104277.0
STD_PIECE,103909.0
STD_PIECE,105249.0
STD_PIECE,103733.0
STD_PIECE,103970.0
STD_PIECE,104308.0
STD_PIECE,104845.0
STD_PIECE,104678.0
STD_PIECE,103983.0
STD_PIECE,104712.0
STD_SINE,103074.0
STD_SINE,102954.0
STD_SINE,103361.0
STD_SINE,103382.0
STD_SINE,103640.0
STD_SINE,103148.0
STD_SINE,103040.0
STD_SINE,104104.0
STD_SINE,103306.0
STD_SINE,103965.0
STD_SINE,103585.0
STD_SINE,103332.0
STD_SINE,102804.0
STD_SINE,103020.0
STD_SINE,103373.0
STD_SINE,102769.0
STD_SINE,102983.0
STD_SINE,103212.0
STD_SINE,102906.0
STD_SINE,103120.0
STD_SINE,103361.0
STD_SINE,102407.0
STD_SINE,103931.0
STD_SINE,102341.0
STD_SINE,103591.0
STD_SINE,102911.0
STD_SINE,103192.0
STD_SINE,103584.0
STD_SINE,103315.0
STD_SINE,104502.0
STD_SINE,104502.0
STD_SINGER,89765.0
STD_SINGER,92112.0
STD_SINGER,90768.0
STD_SINGER,91304.0
STD_SINGER,91927.0
STD_SINGER,90656.0
STD_SINGER,92331.0
STD_SINGER,90262.0
STD_SINGER,91518.0
STD_SINGER,91362.0
STD_SINGER,90964.0
STD_SINGER,91480.0
STD_SINGER,91219.0
STD_SINGER,89818.0
STD_SINGER,90866.0
STD_SINGER,91675.0
STD_SINGER,90865.0
STD_SINGER,92267.0
STD_SINGER,91471.0
STD_SINGER,91846.0
STD_SINGER,90073.0
STD_SINGER,90038.0
STD_SINGER,89938.0
STD_SINGER,91611.0
STD_SINGER,91318.0
STD_SINGER,91993.0
STD_SINGER,91741.0
STD_SINGER,92065.0
STD_SINGER,89861.0
STD_SINGER,94623.0
STD_SINGER,92539.0
STD_SINU,91825.0
STD_SINU,90213.0
STD_SINU,90754.0
STD_SINU,93062.0
STD_SINU,88846.0
STD_SINU,90944.0
STD_SINU,90905.0
STD_SINU,90528.0
STD_SINU,92914.0
STD_SINU,95130.0
STD_SINU,89992.0
STD_SINU,92051.0
STD_SINU,89654.0
STD_SINU,89867.0
STD_SINU,90211.0
STD_SINU,91174.0
STD_SINU,91937.0
STD_SINU,89563.0
STD_SINU,89873.0
STD_SINU,89020.0
STD_SINU,91788.0
STD_SINU,89943.0
STD_SINU,89823.0
STD_SINU,90465.0
STD_SINU,88912.0
STD_SINU,88559.0
STD_SINU,90344.0
STD_SINU,92029.0
STD_SINU,90906.0
STD_SINU,88782.0
STD_SINU,92027.0
STD_TENT,104998.0
STD_TENT,104657.0
STD_TENT,105683.0
STD_TENT,106008.0
STD_TENT,104569.0
STD_TENT,105143.0
STD_TENT,105143.0
STD_TENT,103713.0
STD_TENT,104766.0
STD_TENT,104809.0
STD_TENT,104596.0
STD_TENT,105131.0
STD_TENT,105206.0
STD_TENT,104851.0
STD_TENT,105341.0
STD_TENT,105172.0
STD_TENT,104743.0
STD_TENT,105253.0
STD_TENT,104000.0
STD_TENT,104937.0
STD_TENT,104887.0
STD_TENT,105220.0
STD_TENT,105792.0
STD_TENT,105719.0
STD_TENT,105134.0
STD_TENT,105200.0
STD_TENT,104546.0
STD_TENT,105802.0
STD_TENT,105370.0
STD_TENT,105098.0
STD_TENT,105158.0
STD_CIRCLE,107969.0
STD_CIRCLE,108079.0
STD_CIRCLE,107900.0
STD_CIRCLE,108187.0
STD_CIRCLE,108197.0
STD_CIRCLE,108462.0
STD_CIRCLE,108138.0
STD_CIRCLE,108187.0
STD_CIRCLE,108036.0
STD_CIRCLE,107981.0
STD_CIRCLE,107865.0
STD_CIRCLE,107988.0
STD_CIRCLE,107614.0
STD_CIRCLE,108106.0
STD_CIRCLE,108237.0
STD_CIRCLE,108080.0
STD_CIRCLE,108243.0
STD_CIRCLE,108080.0
STD_CIRCLE,108226.0
STD_CIRCLE,108085.0
STD_CIRCLE,108106.0
STD_CIRCLE,108341.0
STD_CIRCLE,108129.0
STD_CIRCLE,107990.0
STD_CIRCLE,107935.0
STD_CIRCLE,107978.0
STD_CIRCLE,107842.0
STD_CIRCLE,107964.0
STD_CIRCLE,107944.0
STD_CIRCLE,108162.0
STD_CIRCLE,107978.0
COM,90414.0
COM,91546.0
COM,91778.0
COM,91590.0
COM,90940.0
COM,89766.0
COM,91718.0
COM,90499.0
COM,94380.0
COM,90627.0
COM,90573.0
COM,89867.0
COM,91231.0
COM,92927.0
COM,92260.0
COM,91949.0
COM,89912.0
COM,89393.0
COM,93237.0
COM,90082.0
COM,89983.0
COM,91384.0
COM,90120.0
COM,91569.0
COM,90580.0
COM,88432.0
COM,92502.0
COM,89689.0
COM,90509.0
COM,89111.0
COM,89299.0
COM_LOG,89031.0
COM_LOG,88242.0
COM_LOG,90984.0
COM_LOG,91140.0
COM_LOG,92085.0
COM_LOG,91357.0
COM_LOG,90058.0
COM_LOG,91192.0
COM_LOG,92356.0
COM_LOG,92332.0
COM_LOG,90833.0
COM_LOG,91361.0
COM_LOG,90768.0
COM_LOG,88291.0
COM_LOG,93661.0
COM_LOG,92558.0
COM_LOG,90848.0
COM_LOG,89245.0
COM_LOG,94383.0
COM_LOG,92024.0
COM_LOG,89960.0
COM_LOG,91593.0
