MH,Data
STD,4559.0
STD,4566.0
STD,4557.0
STD,4554.0
STD,4566.0
STD,4559.0
STD,4566.0
STD,4559.0
STD,4559.0
STD,4554.0
STD,4566.0
STD,4557.0
STD,4554.0
STD,4555.0
STD,4557.0
STD,4566.0
STD,4566.0
STD,4557.0
STD,4556.0
STD,4554.0
STD,4557.0
STD,4557.0
STD,4566.0
STD,4557.0
STD,4554.0
STD,4553.0
STD,4557.0
STD,4559.0
STD,4557.0
STD,4554.0
STD,4557.0
STD_LOG,4554.0
STD_LOG,4553.0
STD_LOG,4554.0
STD_LOG,4551.0
STD_LOG,4566.0
STD_LOG,4554.0
STD_LOG,4551.0
STD_LOG,4553.0
STD_LOG,4557.0
STD_LOG,4553.0
STD_LOG,4551.0
STD_LOG,4553.0
STD_LOG,4555.0
STD_LOG,4554.0
STD_LOG,4554.0
STD_LOG,4554.0
STD_LOG,4554.0
STD_LOG,4566.0
STD_LOG,4552.0
STD_LOG,4554.0
STD_LOG,4553.0
STD_LOG,4551.0
STD_LOG,4557.0
STD_LOG,4553.0
STD_LOG,4555.0
STD_LOG,4551.0
STD_LOG,4553.0
STD_LOG,4556.0
STD_LOG,4554.0
STD_LOG,4551.0
STD_LOG,4551.0
STD_PIECE,4566.0
STD_PIECE,4559.0
STD_PIECE,4559.0
STD_PIECE,4559.0
STD_PIECE,4566.0
STD_PIECE,4555.0
STD_PIECE,4566.0
STD_PIECE,4559.0
STD_PIECE,4559.0
STD_PIECE,4566.0
STD_PIECE,4557.0
STD_PIECE,4566.0
STD_PIECE,4557.0
STD_PIECE,4566.0
STD_PIECE,4566.0
STD_PIECE,4559.0
STD_PIECE,4559.0
STD_PIECE,4559.0
STD_PIECE,4559.0
STD_PIECE,4559.0
STD_PIECE,4559.0
STD_PIECE,4557.0
STD_PIECE,4557.0
STD_PIECE,4559.0
STD_PIECE,4559.0
STD_PIECE,4557.0
STD_PIECE,4559.0
STD_PIECE,4556.0
STD_PIECE,4559.0
STD_PIECE,4566.0
STD_PIECE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINE,4566.0
STD_SINGER,4501.0
STD_SINGER,4511.0
STD_SINGER,4509.0
STD_SINGER,4504.0
STD_SINGER,4484.0
STD_SINGER,4537.0
STD_SINGER,4507.0
STD_SINGER,4521.0
STD_SINGER,4495.0
STD_SINGER,4551.0
STD_SINGER,4509.0
STD_SINGER,4507.0
STD_SINGER,4520.0
STD_SINGER,4490.0
STD_SINGER,4508.0
STD_SINGER,4534.0
STD_SINGER,4509.0
STD_SINGER,4488.0
STD_SINGER,4502.0
STD_SINGER,4504.0
STD_SINGER,4488.0
STD_SINGER,4505.0
STD_SINGER,4505.0
STD_SINGER,4487.0
STD_SINGER,4518.0
STD_SINGER,4509.0
STD_SINGER,4492.0
STD_SINGER,4513.0
STD_SINGER,4512.0
STD_SINGER,4513.0
STD_SINGER,4514.0
STD_SINU,4424.0
STD_SINU,4394.0
STD_SINU,4434.0
STD_SINU,4445.0
STD_SINU,4413.0
STD_SINU,4429.0
STD_SINU,4447.0
STD_SINU,4434.0
STD_SINU,4462.0
STD_SINU,4494.0
STD_SINU,4401.0
STD_SINU,4404.0
STD_SINU,4501.0
STD_SINU,4458.0
STD_SINU,4423.0
STD_SINU,4399.0
STD_SINU,4482.0
STD_SINU,4443.0
STD_SINU,4437.0
STD_SINU,4437.0
STD_SINU,4422.0
STD_SINU,4468.0
STD_SINU,4440.0
STD_SINU,4442.0
STD_SINU,4456.0
STD_SINU,4453.0
STD_SINU,4465.0
STD_SINU,4402.0
STD_SINU,4420.0
STD_SINU,4415.0
STD_SINU,4418.0
STD_TENT,4557.0
STD_TENT,4566.0
STD_TENT,4557.0
STD_TENT,4566.0
STD_TENT,4554.0
STD_TENT,4559.0
STD_TENT,4566.0
STD_TENT,4566.0
STD_TENT,4557.0
STD_TENT,4551.0
STD_TENT,4566.0
STD_TENT,4566.0
STD_TENT,4559.0
STD_TENT,4566.0
STD_TENT,4557.0
STD_TENT,4556.0
STD_TENT,4566.0
STD_TENT,4566.0
STD_TENT,4555.0
STD_TENT,4557.0
STD_TENT,4566.0
STD_TENT,4559.0
STD_TENT,4554.0
STD_TENT,4566.0
STD_TENT,4566.0
STD_TENT,4557.0
STD_TENT,4566.0
STD_TENT,4557.0
STD_TENT,4566.0
STD_TENT,4566.0
STD_TENT,4566.0
STD_CIRCLE,4556.0
STD_CIRCLE,4551.0
STD_CIRCLE,4551.0
STD_CIRCLE,4551.0
STD_CIRCLE,4559.0
STD_CIRCLE,4552.0
STD_CIRCLE,4551.0
STD_CIRCLE,4557.0
STD_CIRCLE,4554.0
STD_CIRCLE,4552.0
STD_CIRCLE,4551.0
STD_CIRCLE,4554.0
STD_CIRCLE,4566.0
STD_CIRCLE,4551.0
STD_CIRCLE,4551.0
STD_CIRCLE,4554.0
STD_CIRCLE,4556.0
STD_CIRCLE,4556.0
STD_CIRCLE,4552.0
STD_CIRCLE,4555.0
STD_CIRCLE,4552.0
STD_CIRCLE,4554.0
STD_CIRCLE,4566.0
STD_CIRCLE,4551.0
STD_CIRCLE,4566.0
STD_CIRCLE,4551.0
STD_CIRCLE,4551.0
STD_CIRCLE,4566.0
STD_CIRCLE,4551.0
STD_CIRCLE,4554.0
STD_CIRCLE,4551.0
COM,4462.0
COM,4443.0
COM,4460.0
COM,4419.0
COM,4458.0
COM,4440.0
COM,4434.0
COM,4487.0
COM,4438.0
COM,4437.0
COM,4474.0
COM,4483.0
COM,4425.0
COM,4433.0
COM,4414.0
COM,4465.0
COM,4454.0
COM,4442.0
COM,4482.0
COM,4472.0
COM,4454.0
COM,4505.0
COM,4503.0
COM,4422.0
COM,4451.0
COM,4447.0
COM,4419.0
COM,4450.0
COM,4475.0
COM,4459.0
COM,4477.0
COM_LOG,4434.0
COM_LOG,4483.0
COM_LOG,4474.0
COM_LOG,4457.0
COM_LOG,4433.0
COM_LOG,4462.0
COM_LOG,4474.0
COM_LOG,4469.0
COM_LOG,4499.0
COM_LOG,4457.0
