MH,Data
STD,54351.0
STD,54460.0
STD,54333.0
STD,54305.0
STD,54390.0
STD,54321.0
STD,54393.0
STD,54485.0
STD,54319.0
STD,54343.0
STD,54481.0
STD,54400.0
STD,54349.0
STD,54336.0
STD,54373.0
STD,54233.0
STD,54337.0
STD,54337.0
STD,54201.0
STD,54369.0
STD,54411.0
STD,54333.0
STD,54471.0
STD,54233.0
STD,54341.0
STD,54286.0
STD,54280.0
STD,54333.0
STD,54460.0
STD,54316.0
STD,54356.0
STD_LOG,53675.0
STD_LOG,53953.0
STD_LOG,53962.0
STD_LOG,54141.0
STD_LOG,54174.0
STD_LOG,53991.0
STD_LOG,54038.0
STD_LOG,53882.0
STD_LOG,53805.0
STD_LOG,53682.0
STD_LOG,53941.0
STD_LOG,54205.0
STD_LOG,53828.0
STD_LOG,54069.0
STD_LOG,53629.0
STD_LOG,53850.0
STD_LOG,54055.0
STD_LOG,53773.0
STD_LOG,53936.0
STD_LOG,53966.0
STD_LOG,53977.0
STD_LOG,53842.0
STD_LOG,53891.0
STD_LOG,53760.0
STD_LOG,53970.0
STD_LOG,54036.0
STD_LOG,53894.0
STD_LOG,54025.0
STD_LOG,53833.0
STD_LOG,54162.0
STD_LOG,53826.0
STD_PIECE,54170.0
STD_PIECE,54400.0
STD_PIECE,54357.0
STD_PIECE,54346.0
STD_PIECE,54316.0
STD_PIECE,54365.0
STD_PIECE,54331.0
STD_PIECE,54369.0
STD_PIECE,54280.0
STD_PIECE,54346.0
STD_PIECE,54341.0
STD_PIECE,54403.0
STD_PIECE,54347.0
STD_PIECE,54373.0
STD_PIECE,54365.0
STD_PIECE,54473.0
STD_PIECE,54239.0
STD_PIECE,54471.0
STD_PIECE,54393.0
STD_PIECE,54356.0
STD_PIECE,54428.0
STD_PIECE,54356.0
STD_PIECE,54503.0
STD_PIECE,54353.0
STD_PIECE,54481.0
STD_PIECE,54312.0
STD_PIECE,54503.0
STD_PIECE,54485.0
STD_PIECE,54343.0
STD_PIECE,54324.0
STD_PIECE,54347.0
STD_SINE,54219.0
STD_SINE,54190.0
STD_SINE,53990.0
STD_SINE,54114.0
STD_SINE,53938.0
STD_SINE,54016.0
STD_SINE,54234.0
STD_SINE,53875.0
STD_SINE,54347.0
STD_SINE,53970.0
STD_SINE,53993.0
STD_SINE,54095.0
STD_SINE,53967.0
STD_SINE,53872.0
STD_SINE,53830.0
STD_SINE,54195.0
STD_SINE,54112.0
STD_SINE,53995.0
STD_SINE,54181.0
STD_SINE,54322.0
STD_SINE,54074.0
STD_SINE,54254.0
STD_SINE,54503.0
STD_SINE,54070.0
STD_SINE,54330.0
STD_SINE,54290.0
STD_SINE,54238.0
STD_SINE,53938.0
STD_SINE,54267.0
STD_SINE,54171.0
STD_SINE,54095.0
STD_SINGER,52506.0
STD_SINGER,52257.0
STD_SINGER,52723.0
STD_SINGER,52694.0
STD_SINGER,53064.0
STD_SINGER,52460.0
STD_SINGER,52901.0
STD_SINGER,52518.0
STD_SINGER,53240.0
STD_SINGER,52496.0
STD_SINGER,52754.0
STD_SINGER,53458.0
STD_SINGER,52938.0
STD_SINGER,53189.0
STD_SINGER,52812.0
STD_SINGER,52982.0
STD_SINGER,52668.0
STD_SINGER,52511.0
STD_SINGER,52483.0
STD_SINGER,52938.0
STD_SINGER,52821.0
STD_SINGER,52720.0
STD_SINGER,53211.0
STD_SINGER,52712.0
STD_SINGER,53036.0
STD_SINGER,53100.0
STD_SINGER,53206.0
STD_SINGER,52832.0
STD_SINGER,52935.0
STD_SINGER,52474.0
STD_SINGER,52441.0
STD_SINU,51517.0
STD_SINU,52021.0
STD_SINU,51917.0
STD_SINU,52163.0
