MH,Data
STD,215.456
STD,221.458
STD,219.11
STD,117.899
STD,119.136
STD,116.719
STD,117.456
STD,116.764
STD,118.519
STD,118.748
STD,120.074
STD,117.348
STD,116.521
STD,117.703
STD,118.86
STD,118.344
STD,118.554
STD,118.522
STD,119.453
STD,118.476
STD,117.667
STD,117.257
STD,118.28
STD,119.562
STD,118.225
STD,119.131
STD,119.968
STD,112.663
STD,115.151
STD,116.038
STD,115.281
STD_LOG,223.763
STD_LOG,225.214
STD_LOG,227.471
STD_LOG,115.477
STD_LOG,114.286
STD_LOG,115.382
STD_LOG,116.146
STD_LOG,107.91
STD_LOG,110.494
STD_LOG,110.75
STD_LOG,110.585
STD_LOG,110.994
STD_LOG,111.594
STD_LOG,111.596
STD_LOG,110.512
STD_LOG,108.238
STD_LOG,109.75
STD_LOG,109.636
STD_LOG,109.575
STD_LOG,110.541
STD_LOG,110.545
STD_LOG,110.885
STD_LOG,110.487
STD_LOG,107.976
STD_LOG,109.436
STD_LOG,109.618
STD_LOG,109.193
STD_LOG,110.54
STD_LOG,110.036
STD_LOG,111.018
STD_LOG,110.394
STD_PIECE,225.213
STD_PIECE,224.848
STD_PIECE,224.88
STD_PIECE,108.174
STD_PIECE,109.878
STD_PIECE,110.682
STD_PIECE,110.064
STD_PIECE,110.48
STD_PIECE,110.984
STD_PIECE,111.052
STD_PIECE,110.213
STD_PIECE,107.963
STD_PIECE,109.887
STD_PIECE,110.006
STD_PIECE,109.62
STD_PIECE,110.404
STD_PIECE,110.783
STD_PIECE,110.426
STD_PIECE,110.644
STD_PIECE,108.234
STD_PIECE,110.377
STD_PIECE,109.481
STD_PIECE,110.158
STD_PIECE,110.748
STD_PIECE,110.294
STD_PIECE,110.364
STD_PIECE,110.333
STD_PIECE,107.965
STD_PIECE,110.548
STD_PIECE,110.039
STD_PIECE,110.738
STD_SINE,228.471
STD_SINE,225.815
STD_SINE,227.189
STD_SINE,111.686
STD_SINE,112.178
STD_SINE,112.55
STD_SINE,112.009
STD_SINE,109.653
STD_SINE,111.309
STD_SINE,111.293
STD_SINE,111.911
STD_SINE,111.846
STD_SINE,112.606
STD_SINE,112.843
STD_SINE,111.812
STD_SINE,109.595
STD_SINE,112.067
STD_SINE,111.726
STD_SINE,112.04
STD_SINE,112.011
STD_SINE,111.401
STD_SINE,112.876
STD_SINE,112.864
STD_SINE,109.813
STD_SINE,112.265
STD_SINE,111.195
STD_SINE,112.347
STD_SINE,111.561
STD_SINE,111.683
STD_SINE,112.538
STD_SINE,111.474
STD_SINGER,205.875
STD_SINGER,205.459
STD_SINGER,199.646
STD_SINGER,101.692
STD_SINGER,104.339
STD_SINGER,103.94
STD_SINGER,103.689
STD_SINGER,104.005
STD_SINGER,104.148
STD_SINGER,104.093
STD_SINGER,104.081
STD_SINGER,101.163
STD_SINGER,103.426
STD_SINGER,103.184
STD_SINGER,104.232
STD_SINGER,103.746
STD_SINGER,104.679
STD_SINGER,104.347
STD_SINGER,104.067
STD_SINGER,101.183
STD_SINGER,103.623
STD_SINGER,103.597
STD_SINGER,103.355
STD_SINGER,103.908
STD_SINGER,103.35
STD_SINGER,104.268
STD_SINGER,104.664
STD_SINGER,101.49
STD_SINGER,103.151
STD_SINGER,103.05
STD_SINGER,103.684
STD_SINU,186.126
STD_SINU,182.926
STD_SINU,190.433
STD_SINU,97.056
STD_SINU,97.543
STD_SINU,96.451
STD_SINU,96.845
STD_SINU,94.129
STD_SINU,96.244
STD_SINU,96.696
STD_SINU,96.198
STD_SINU,95.909
STD_SINU,96.933
STD_SINU,96.902
STD_SINU,96.453
STD_SINU,94.222
STD_SINU,95.909
STD_SINU,96.609
STD_SINU,96.564
STD_SINU,96.391
STD_SINU,96.209
STD_SINU,96.284
STD_SINU,97.481
