MH,Data
STD,18.877
STD,19.312
STD,18.885
STD,8.981
STD,8.932
STD,8.941
STD,9.021
STD,8.918
STD,8.895
STD,8.931
STD,9.055
STD,8.936
STD,8.93
STD,8.964
STD,9.045
STD,8.93
STD,8.946
STD,8.931
STD,9.035
STD,8.993
STD,8.971
STD,9.013
STD,9.041
STD,8.973
STD,8.973
STD,8.925
STD,9.055
STD,8.911
STD,8.914
STD,8.951
STD,9.043
STD_LOG,18.619
STD_LOG,18.892
STD_LOG,19.158
STD_LOG,8.917
STD_LOG,8.9
STD_LOG,8.961
STD_LOG,8.908
STD_LOG,8.923
STD_LOG,8.909
STD_LOG,8.989
STD_LOG,8.932
STD_LOG,8.991
STD_LOG,8.919
STD_LOG,8.953
STD_LOG,8.9
STD_LOG,8.945
STD_LOG,8.915
STD_LOG,8.956
STD_LOG,8.937
STD_LOG,8.856
STD_LOG,8.889
STD_LOG,8.89
STD_LOG,8.963
STD_LOG,8.897
STD_LOG,8.845
STD_LOG,8.942
STD_LOG,8.92
STD_LOG,8.896
STD_LOG,8.859
STD_LOG,8.892
STD_LOG,8.877
STD_PIECE,19.085
STD_PIECE,18.979
STD_PIECE,18.923
STD_PIECE,8.896
STD_PIECE,8.911
STD_PIECE,8.95
STD_PIECE,8.913
STD_PIECE,8.896
STD_PIECE,8.826
STD_PIECE,8.895
STD_PIECE,8.909
STD_PIECE,8.908
STD_PIECE,8.861
STD_PIECE,8.935
STD_PIECE,8.947
STD_PIECE,8.94
STD_PIECE,8.878
STD_PIECE,8.904
STD_PIECE,8.939
STD_PIECE,8.886
STD_PIECE,8.897
STD_PIECE,9.005
STD_PIECE,8.92
STD_PIECE,8.899
STD_PIECE,8.865
STD_PIECE,8.939
STD_PIECE,8.888
STD_PIECE,8.895
STD_PIECE,8.888
STD_PIECE,8.926
STD_PIECE,8.915
STD_SINE,19.873
STD_SINE,19.06
STD_SINE,19.055
STD_SINE,9.027
STD_SINE,8.957
STD_SINE,8.985
STD_SINE,9.03
STD_SINE,8.97
STD_SINE,8.953
STD_SINE,9.005
STD_SINE,9.03
STD_SINE,9.023
STD_SINE,8.963
STD_SINE,9.034
STD_SINE,9.02
STD_SINE,8.979
STD_SINE,8.973
STD_SINE,9.066
STD_SINE,9.012
STD_SINE,9.046
STD_SINE,9.018
STD_SINE,9.069
STD_SINE,9.037
STD_SINE,9.029
STD_SINE,8.982
STD_SINE,9.05
STD_SINE,9.035
STD_SINE,9.053
STD_SINE,9.06
STD_SINE,9.063
STD_SINE,9.041
STD_SINGER,17.917
STD_SINGER,18.407
STD_SINGER,17.963
STD_SINGER,8.469
STD_SINGER,8.504
STD_SINGER,8.526
STD_SINGER,8.551
STD_SINGER,8.484
STD_SINGER,8.501
STD_SINGER,8.536
STD_SINGER,8.533
STD_SINGER,8.503
STD_SINGER,8.516
STD_SINGER,8.487
STD_SINGER,8.499
STD_SINGER,8.489
STD_SINGER,8.457
STD_SINGER,8.513
STD_SINGER,8.535
STD_SINGER,8.498
STD_SINGER,8.464
STD_SINGER,8.497
STD_SINGER,8.549
STD_SINGER,8.485
STD_SINGER,8.445
STD_SINGER,8.514
STD_SINGER,8.462
STD_SINGER,8.502
STD_SINGER,8.484
STD_SINGER,8.528
STD_SINGER,8.533
STD_SINU,16.629
STD_SINU,17.028
STD_SINU,17.743
STD_SINU,7.945
STD_SINU,7.918
STD_SINU,7.934
STD_SINU,7.919
STD_SINU,7.934
STD_SINU,7.881
STD_SINU,7.936
STD_SINU,7.916
STD_SINU,7.942
STD_SINU,7.913
STD_SINU,7.932
STD_SINU,7.898
STD_SINU,7.914
STD_SINU,7.898
STD_SINU,7.956
STD_SINU,7.914
STD_SINU,7.948
STD_SINU,7.938
STD_SINU,7.952
STD_SINU,7.918
STD_SINU,7.92
STD_SINU,7.904
STD_SINU,7.942
STD_SINU,7.91
STD_SINU,7.941
STD_SINU,7.924
STD_SINU,7.927
STD_SINU,7.934
STD_TENT,19.412
STD_TENT,19.255
STD_TENT,19.159
STD_TENT,8.983
STD_TENT,8.944
STD_TENT,8.98
STD_TENT,9.019
STD_TENT,9.001
STD_TENT,8.952
STD_TENT,9.009
STD_TENT,9.051
STD_TENT,8.983
STD_TENT,8.975
STD_TENT,9.034
STD_TENT,9.02
STD_TENT,8.986
STD_TENT,9.0
STD_TENT,9.011
STD_TENT,9.011
STD_TENT,8.99
STD_TENT,8.985
STD_TENT,9.047
STD_TENT,9.074
STD_TENT,8.993
STD_TENT,8.996
STD_TENT,9.048
STD_TENT,9.045
STD_TENT,9.012
STD_TENT,8.978
STD_TENT,9.01
STD_TENT,9.026
STD_CIRCLE,20.009
STD_CIRCLE,19.855
STD_CIRCLE,19.768
STD_CIRCLE,9.251
STD_CIRCLE,9.255
STD_CIRCLE,9.359
STD_CIRCLE,9.319
STD_CIRCLE,9.252
STD_CIRCLE,9.287
STD_CIRCLE,9.295
STD_CIRCLE,9.32
STD_CIRCLE,9.253
STD_CIRCLE,9.271
