MH,Data
STD,10.959
STD,10.438
STD,10.465
STD,5.703
STD,5.37
STD,5.315
STD,5.202
STD,5.223
STD,5.2
STD,5.152
STD,5.254
STD,5.253
STD,5.202
STD,5.191
STD,5.218
STD,5.19
STD,5.208
STD,5.176
STD,5.237
STD,5.205
STD,5.18
STD,5.209
STD,5.253
STD,5.183
STD,5.232
STD,5.209
STD,5.208
STD,5.213
STD,5.24
STD,5.171
STD,5.177
STD_LOG,11.297
STD_LOG,10.102
STD_LOG,10.1
STD_LOG,5.217
STD_LOG,5.188
STD_LOG,5.24
STD_LOG,5.155
STD_LOG,5.188
STD_LOG,5.196
STD_LOG,5.177
STD_LOG,5.168
STD_LOG,5.181
STD_LOG,5.179
STD_LOG,5.179
STD_LOG,5.197
STD_LOG,5.196
STD_LOG,5.184
STD_LOG,5.141
STD_LOG,5.167
STD_LOG,5.149
STD_LOG,5.202
STD_LOG,5.193
STD_LOG,5.145
STD_LOG,5.224
STD_LOG,5.193
STD_LOG,5.192
STD_LOG,5.182
STD_LOG,5.166
STD_LOG,5.214
STD_LOG,5.208
STD_LOG,5.152
STD_PIECE,11.198
STD_PIECE,10.082
STD_PIECE,10.037
STD_PIECE,5.181
STD_PIECE,5.141
STD_PIECE,5.178
STD_PIECE,5.188
STD_PIECE,5.217
STD_PIECE,5.179
STD_PIECE,5.168
STD_PIECE,5.179
STD_PIECE,5.212
STD_PIECE,5.119
STD_PIECE,5.202
STD_PIECE,5.157
STD_PIECE,5.154
STD_PIECE,5.169
STD_PIECE,5.199
STD_PIECE,5.109
STD_PIECE,5.136
STD_PIECE,5.167
STD_PIECE,5.174
STD_PIECE,5.203
STD_PIECE,5.175
STD_PIECE,5.185
STD_PIECE,5.162
STD_PIECE,5.204
STD_PIECE,5.182
STD_PIECE,5.125
STD_PIECE,5.166
STD_PIECE,5.15
STD_SINE,11.053
STD_SINE,9.606
STD_SINE,10.023
STD_SINE,5.188
STD_SINE,5.236
STD_SINE,5.245
STD_SINE,5.189
STD_SINE,5.224
STD_SINE,5.175
STD_SINE,5.227
STD_SINE,5.165
STD_SINE,5.18
STD_SINE,5.228
STD_SINE,5.183
STD_SINE,5.237
STD_SINE,5.208
STD_SINE,5.276
STD_SINE,5.244
STD_SINE,5.175
STD_SINE,5.233
STD_SINE,5.186
STD_SINE,5.215
STD_SINE,5.238
STD_SINE,5.167
STD_SINE,5.243
STD_SINE,5.218
STD_SINE,5.219
STD_SINE,5.163
STD_SINE,5.249
STD_SINE,5.194
STD_SINE,5.138
STD_SINGER,11.019
STD_SINGER,9.682
STD_SINGER,9.744
STD_SINGER,4.932
STD_SINGER,4.908
STD_SINGER,4.943
STD_SINGER,4.968
STD_SINGER,4.939
STD_SINGER,4.944
STD_SINGER,4.927
STD_SINGER,5.0
STD_SINGER,4.923
STD_SINGER,4.935
STD_SINGER,4.918
STD_SINGER,4.983
STD_SINGER,4.925
STD_SINGER,4.918
STD_SINGER,4.943
STD_SINGER,4.887
STD_SINGER,4.975
STD_SINGER,4.987
STD_SINGER,4.954
STD_SINGER,4.97
STD_SINGER,4.992
STD_SINGER,4.903
STD_SINGER,4.922
STD_SINGER,4.932
STD_SINGER,4.947
STD_SINGER,4.945
STD_SINGER,4.908
STD_SINGER,4.983
STD_SINU,9.984
STD_SINU,8.715
STD_SINU,8.807
STD_SINU,4.555
STD_SINU,4.578
STD_SINU,4.589
STD_SINU,4.575
STD_SINU,4.586
STD_SINU,4.602
STD_SINU,4.506
STD_SINU,4.576
STD_SINU,4.54
STD_SINU,4.59
STD_SINU,4.58
STD_SINU,4.555
STD_SINU,4.521
STD_SINU,4.61
STD_SINU,4.641
STD_SINU,4.619
STD_SINU,4.582
STD_SINU,4.554
STD_SINU,4.561
STD_SINU,4.637
STD_SINU,4.599
STD_SINU,4.564
STD_SINU,4.601
STD_SINU,4.559
STD_SINU,4.568
STD_SINU,4.613
STD_SINU,4.552
STD_SINU,4.67
STD_TENT,11.044
STD_TENT,10.173
STD_TENT,10.302
STD_TENT,5.203
STD_TENT,5.209
STD_TENT,5.214
STD_TENT,5.206
STD_TENT,5.209
STD_TENT,5.232
STD_TENT,5.137
STD_TENT,5.228
STD_TENT,5.224
STD_TENT,5.186
STD_TENT,5.218
STD_TENT,5.242
STD_TENT,5.24
STD_TENT,5.235
STD_TENT,5.205
STD_TENT,5.195
STD_TENT,5.215
STD_TENT,5.2
STD_TENT,5.719
STD_TENT,5.907
STD_TENT,5.93
STD_TENT,5.212
STD_TENT,5.062
STD_TENT,5.073
STD_TENT,5.128
STD_TENT,5.103
STD_TENT,5.129
STD_TENT,5.143
STD_CIRCLE,11.629
STD_CIRCLE,10.057
STD_CIRCLE,10.341
STD_CIRCLE,5.183
STD_CIRCLE,5.24
STD_CIRCLE,5.224
STD_CIRCLE,5.275
STD_CIRCLE,5.284
STD_CIRCLE,5.491
STD_CIRCLE,5.334
STD_CIRCLE,5.349
STD_CIRCLE,5.496
STD_CIRCLE,5.641
STD_CIRCLE,5.778
STD_CIRCLE,5.831
STD_CIRCLE,6.105
STD_CIRCLE,5.906
STD_CIRCLE,5.942
STD_CIRCLE,5.955
STD_CIRCLE,6.05
STD_CIRCLE,5.966
STD_CIRCLE,6.226
STD_CIRCLE,5.932
STD_CIRCLE,5.754
STD_CIRCLE,5.899
STD_CIRCLE,5.772
STD_CIRCLE,5.827
STD_CIRCLE,5.85
STD_CIRCLE,5.862
STD_CIRCLE,6.024
STD_CIRCLE,5.92
COM,11.311
COM,10.251
COM,10.559
COM,5.604
COM,5.811
COM,5.684
COM,5.654
COM,5.873
COM,5.758
COM,6.135
COM,5.737
COM,5.977
COM,5.974
COM,5.747
COM,5.743
COM,5.847
COM,6.037
COM,6.134
COM,5.837
COM,6.107
COM,6.076
COM,5.762
COM,5.854
COM,5.93
COM,5.903
COM,6.08
COM,5.741
COM,5.919
COM,5.806
COM,5.6
COM,5.743
COM_LOG,11.821
COM_LOG,10.018
COM_LOG,10.158
COM_LOG,5.749
COM_LOG,5.74
COM_LOG,5.86
COM_LOG,5.803
COM_LOG,5.874
COM_LOG,5.862
COM_LOG,5.832
COM_LOG,5.668
COM_LOG,5.769
COM_LOG,5.849
COM_LOG,5.872
COM_LOG,5.571
COM_LOG,5.796
COM_LOG,5.722
COM_LOG,5.752
COM_LOG,5.75
COM_LOG,5.719
COM_LOG,5.648
COM_LOG,5.693
COM_LOG,5.582
COM_LOG,5.588
COM_LOG,5.757
COM_LOG,5.551
COM_LOG,5.64
COM_LOG,5.735
COM_LOG,5.78
COM_LOG,5.707
COM_LOG,5.647
COM_PIECE,11.464
COM_PIECE,10.348
COM_PIECE,10.02
COM_PIECE,5.675
COM_PIECE,5.719
COM_PIECE,5.777
COM_PIECE,5.832
COM_PIECE,5.948
COM_PIECE,6.024
COM_PIECE,5.994
COM_PIECE,5.902
COM_PIECE,6.168
COM_PIECE,5.93
COM_PIECE,5.943
COM_PIECE,5.943
COM_PIECE,5.922
COM_PIECE,5.75
COM_PIECE,5.689
COM_PIECE,6.175
COM_PIECE,6.014
COM_PIECE,5.991
COM_PIECE,6.017
COM_PIECE,5.941
COM_PIECE,5.856
COM_PIECE,5.85
COM_PIECE,6.114
COM_PIECE,5.974
COM_PIECE,6.13
COM_PIECE,5.897
COM_PIECE,5.833
COM_PIECE,5.843
COM_SINE,11.654
COM_SINE,10.692
COM_SINE,10.388
COM_SINE,5.844
COM_SINE,6.045
COM_SINE,5.892
COM_SINE,6.023
COM_SINE,6.02
COM_SINE,5.623
COM_SINE,5.832
COM_SINE,5.914
COM_SINE,5.823
COM_SINE,5.806
COM_SINE,5.884
COM_SINE,5.79
COM_SINE,5.595
COM_SINE,5.803
COM_SINE,5.723
COM_SINE,5.913
COM_SINE,5.909
COM_SINE,5.675
COM_SINE,5.681
COM_SINE,5.757
COM_SINE,5.87
COM_SINE,5.966
COM_SINE,5.689
COM_SINE,5.865
COM_SINE,5.737
COM_SINE,5.899
COM_SINE,5.887
COM_SINE,5.905
COM_SINGER,11.011
COM_SINGER,9.795
COM_SINGER,9.568
COM_SINGER,5.301
COM_SINGER,5.39
COM_SINGER,5.301
COM_SINGER,5.5
COM_SINGER,5.321
COM_SINGER,5.492
COM_SINGER,5.36
COM_SINGER,5.586
COM_SINGER,5.321
COM_SINGER,5.624
COM_SINGER,5.531
COM_SINGER,5.756
COM_SINGER,5.575
COM_SINGER,5.637
COM_SINGER,5.905
COM_SINGER,5.615
COM_SINGER,5.999
COM_SINGER,6.076
COM_SINGER,5.835
COM_SINGER,5.893
COM_SINGER,5.778
COM_SINGER,6.05
COM_SINGER,5.718
COM_SINGER,5.764
COM_SINGER,5.664
COM_SINGER,5.633
COM_SINGER,5.501
COM_SINGER,5.658
COM_SINU,10.589
COM_SINU,9.535
COM_SINU,9.229
COM_SINU,5.063
COM_SINU,5.131
COM_SINU,5.125
COM_SINU,5.278
COM_SINU,5.176
COM_SINU,5.441
COM_SINU,5.3
COM_SINU,5.346
COM_SINU,5.266
COM_SINU,5.436
