Instance,Opt,STD,,STD_LOG,,STD_PIECE,,STD_SINE,,STD_SINGER,,STD_SINU,,STD_TENT,,STD_CIRCLE,
,,best,avg,best,avg,best,avg,best,avg,best,avg,best,avg,best,avg,best,avg
1_1000,54503.0,53681.0,52958.13,52931.0,51803.35,53662.0,52702.71,53318.0,52691.94,49265.0,47890.0,48741.0,46592.0,53416.0,52875.29,54234.0,54057.45
1_100,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0
1_2000,110625.0,105363.0,103724.32,102554.0,101476.9,105728.0,103444.58,103910.0,102593.61,95257.0,90910.03,95017.0,91056.87,106046.0,104096.1,108845.0,108422.23
1_200,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11237.65,11238.0,11237.29,11238.0,11238.0,11238.0,11238.0
1_500,28857.0,28857.0,28772.32,28764.0,28625.19,28834.0,28791.61,28857.0,28706.94,28182.0,27467.39,27261.0,26158.35,28857.0,28793.94,28857.0,28855.52
2_1000,9052.0,9045.0,8989.87,9001.0,8947.58,9030.0,8988.26,9013.0,8987.81,8827.0,8744.71,8729.0,8589.26,9028.0,8988.23,9030.0,9013.97
2_100,1514.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1513.0,1512.03,1512.0,1512.0,1512.0,1512.0
2_2000,18051.0,17794.0,17663.06,17643.0,17506.13,17757.0,17658.32,17736.0,17631.35,17005.0,16811.97,17111.0,16776.55,17773.0,17651.45,17974.0,17939.1
2_200,1634.0,1634.0,1634.0,1634.0,1634.0,1634.0,1634.0,1634.0,1634.0,1634.0,1634.0,1634.0,1631.42,1634.0,1634.0,1634.0,1634.0
2_500,4566.0,4566.0,4558.55,4566.0,4554.13,4566.0,4560.48,4566.0,4566.0,4551.0,4507.97,4501.0,4437.48,4566.0,4561.35,4566.0,4554.61
3_1000,14390.0,14090.0,14039.1,13990.0,13867.77,14090.0,14030.52,14087.0,13987.06,13467.0,13186.65,13286.0,13046.0,14187.0,14056.68,14290.0,14285.23
3_100,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2396.1
3_2000,28919.0,27716.0,27517.06,27214.0,26996.97,27619.0,27488.61,27418.0,27308.68,25618.0,25265.52,26012.0,25404.61,27814.0,27548.61,28518.0,28371.16
3_200,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2696.68,2697.0,2697.0,2697.0,2697.0
3_500,7117.0,7116.0,7069.94,7017.0,7016.35,7116.0,7058.97,7116.0,7025.65,6915.0,6815.97,6815.0,6658.03,7117.0,7087.71,7117.0,7117.0
