Instance,Opt,STD,,STD_LOG,,STD_PIECE,,STD_SINE,,STD_SINGER,,STD_SINU,,STD_TENT,,STD_CIRCLE,
,,best,avg,best,avg,best,avg,best,avg,best,avg,best,avg,best,avg,best,avg
1_1000,54503.0,54485.0,54352.77,54205.0,53928.1,54503.0,54370.19,54503.0,54118.87,53458.0,52809.03,52687.0,52146.32,54503.0,54371.0,54481.0,54475.35
1_100,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0,9147.0
1_2000,110625.0,109623.0,108875.9,108467.0,106985.74,109791.0,109037.13,108598.0,107846.42,104903.0,103691.39,103389.0,100545.61,109959.0,109113.23,110555.0,110214.42
1_200,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0,11238.0
1_500,28857.0,28857.0,28856.26,28857.0,28845.87,28857.0,28856.26,28857.0,28849.58,28857.0,28759.29,28857.0,28674.71,28857.0,28853.29,28857.0,28834.74
2_1000,9052.0,9051.0,9050.0,9048.0,9031.48,9051.0,9049.32,9051.0,9043.39,9027.0,8989.65,9006.0,8968.81,9051.0,9049.77,9051.0,9049.84
2_100,1514.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1513.0,1512.1,1512.0,1512.0,1512.0,1512.0
2_2000,18051.0,18027.0,17969.61,17960.0,17877.87,18022.0,17971.81,17981.0,17905.16,17774.0,17658.9,17626.0,17501.97,18009.0,17968.45,18040.0,18027.32
2_200,1634.0,1634.0,1634.0,1634.0,1634.0,1634.0,1634.0,1634.0,1634.0,1634.0,1634.0,1634.0,1634.0,1634.0,1634.0,1634.0,1634.0
2_500,4566.0,4566.0,4565.48,4566.0,4565.61,4566.0,4566.0,4566.0,4565.55,4566.0,4557.77,4566.0,4560.84,4566.0,4566.0,4552.0,4551.29
3_1000,14390.0,14390.0,14329.87,14290.0,14235.9,14389.0,14326.26,14290.0,14280.29,14186.0,14053.23,13989.0,13873.65,14390.0,14311.81,14390.0,14389.61
3_100,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2397.0,2396.0,2396.0
3_2000,28919.0,28809.0,28617.29,28319.0,28210.03,28713.0,28583.81,28519.0,28376.16,27808.0,27553.61,27416.0,26964.77,28719.0,28603.68,28916.0,28830.77
3_200,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0,2697.0
3_500,7117.0,7117.0,7117.0,7117.0,7116.9,7117.0,7117.0,7117.0,7117.0,7117.0,7051.23,7117.0,7023.03,7117.0,7117.0,7117.0,7117.0
